question,intent
Is blending better than juicing?,nutrition
Foods to avoid for high cholesterol?,nutrition
How to do bench press?,workout
Exercises for pec muscles?,workout
How to train for marathon?,workout
Best exercises for hamstrings?,workout
How to build power for boxing?,workout
What is calisthenics?,workout
Exercises for adductors?,workout
How to train for golf?,workout
Best chest workouts?,workout
How to improve coordination?,workout
Exercises for finger strength?,workout
What is step aerobics?,workout
Gym workout for beginners?,workout
How to do muscle-ups?,workout
"My hip hurts when sitting, related?",medical
How to heal ligament tear?,medical
Is blurred vision from fatigue?,medical
Exercise with MS?,medical
How to manage Crohn's disease?,medical
Signs of hormone imbalance?,medical
Can insomnia affect gains?,medical
How to treat IT band syndrome?,medical
Exercise safe with glaucoma?,medical
Dealing with acne from sweat?,medical
How to prevent heat rash?,medical
Is mood swings from diet?,medical
Exercise with COPD?,medical
Using IGF-1 for growth?,unsafe
How to make steroids at home?,unsafe
Best fruit only diet?,unsafe
Herbal laxatives safe?,unsafe
How to use alcohol for calories?,unsafe
Breatharianism tips?,unsafe
Using vinegar for detox?,unsafe
Training with fever?,unsafe
How to lie about diet?,unsafe
Negative calorie diet?,unsafe
Using meth for energy?,unsafe
Steroids for women?,unsafe
What is ECG?,general
How to calculate BMI accurately?,general
What are terpenes?,general
Differences between minerals?,general
What is symbiosis?,general
How does music affect workout?,general
What is DNA?,general
Benefits of nature walks?,general
What are enzymes?,general
How to reduce stress?,general
What is relativity in fitness?,general
Importance of community in fitness?,general
Best smoothies for breakfast?,nutrition
How does carrot benefit vision?,nutrition
Is organic worth it?,nutrition
Best foods for bone health?,nutrition
How much chromium daily?,nutrition
Foods to boost endorphins?,nutrition
Is palm oil bad?,nutrition
How to get enough protein vegetarian?,nutrition
Best guilt-free snacks?,nutrition
Foods high in vitamin K?,nutrition
How does alcohol affect liver?,nutrition
Best legume choices?,nutrition
Is eating raw better?,nutrition
Foods to avoid for diabetes?,nutrition
Proper form for rows?,workout
Exercises for lat muscles?,workout
How to train for ultra?,workout
Best exercises for calves?,workout
How to build explosiveness?,workout
What is powerlifting?,workout
Exercises for abductors?,workout
How to train for tennis?,workout
Best arm workouts?,workout
How to improve flexibility?,workout
Exercises for thumb strength?,workout
What is water aerobics?,workout
Partner workout ideas?,workout
How to do ring dips?,workout
"My neck stiffens, causes?",medical
How to heal nerve damage?,medical
Is tinnitus from headphones?,medical
Exercise with Parkinson's?,medical
How to manage ulcerative colitis?,medical
Signs of thyroid issues?,medical
Can ADHD affect focus in gym?,medical
How to treat patellar tendonitis?,medical
Exercise safe with cataracts?,medical
Dealing with hives from exercise?,medical
How to prevent bug bites outdoors?,medical
Is anxiety from caffeine?,medical
Exercise with asthma?,medical
Using EPO for endurance?,unsafe
How to dose anabolics?,unsafe
Best veggie only diet?,unsafe
Stimulant laxatives?,unsafe
How to use weed for appetite?,unsafe
Air diet myths?,unsafe
Using baking soda for detox?,unsafe
Working out injured?,unsafe
How to manipulate scale?,unsafe
Celery juice cleanse?,unsafe
Using LSD for mind?,unsafe
Hormones for trans athletes?,unsafe
What is EEG?,general
How to measure waist?,general
What are cannabinoids?,general
Differences between herbs?,general
What is ecology?,general
How does light affect sleep?,general
What is RNA?,general
Benefits of art therapy?,general
What are neurotransmitters?,general
How to meditate?,general
What is string theory in health?,general
Importance of play in adult life?,general
Best salads for lunch?,nutrition
How does tomato benefit heart?,nutrition
Is GMO safe?,nutrition
Best foods for liver detox?,nutrition
How much manganese daily?,nutrition
Foods to boost oxytocin?,nutrition
Is sesame oil good?,nutrition
How to get omega-3 vegetarian?,nutrition
Best energy bars?,nutrition
Foods high in folate?,nutrition
How does smoking affect lungs?,nutrition
Best pulse options?,nutrition
Is cooking method important?,nutrition
Foods to avoid for hypertension?,nutrition
How to do pull-ups?,workout
Exercises for rhomboid muscles?,workout
How to train for ironman?,workout
Best exercises for abs?,workout
How to build strength for climbing?,workout
What is Olympic lifting?,workout
Exercises for rotator cuff?,workout
How to train for basketball?,workout
Best shoulder workouts?,workout
How to improve posture?,workout
Exercises for toe strength?,workout
What is dance fitness?,workout
Group workout benefits?,workout
How to do planche?,workout
"My back aches, from mattress?",medical
How to heal disc herniation?,medical
Is double vision serious?,medical
Exercise with Alzheimer's?,medical
How to manage diverticulitis?,medical
Signs of adrenal fatigue?,medical
Can bipolar affect routine?,medical
How to treat Achilles tendonitis?,medical
Exercise safe with hearing loss?,medical
Dealing with sunburn?,medical
How to prevent splinters?,medical
Is irritability from low sugar?,medical
Exercise with bronchitis?,medical
Using blood doping?,unsafe
How to use insulin for bulking?,unsafe
Best grain free diet?,unsafe
Bulk laxative use?,unsafe
How to use caffeine overdose?,unsafe
Cotton ball diet?,unsafe
Using lemon for detox?,unsafe
Training drunk?,unsafe
How to photoshop body?,unsafe
Master cleanse?,unsafe
Using shrooms for recovery?,unsafe
Peptides for women?,unsafe
What is MRI?,general
How to calculate lean mass?,general
What are flavonoids?,general
Differences between spices?,general
What is biodiversity?,general
How does temperature affect metabolism?,general
What is ATP?,general
Benefits of music therapy?,general
What are synapses?,general
How to journal?,general
What is chaos theory in life?,general
Importance of rest days?,general
Hi,chitchat
Hello,chitchat
Good morning,chitchat
Thanks,chitchat
Thank you,chitchat
Okay,chitchat
Cool,chitchat
Nice,chitchat
Who are you?,chitchat
What can you do?,chitchat
Can you help me?,chitchat
That helped,chitchat
Explain again,chitchat
Can you simplify?,chitchat
Hey there,chitchat
What's up?,chitchat
How are you?,chitchat
Good afternoon,chitchat
Good evening,chitchat
Bye,chitchat
See you,chitchat
Talk later,chitchat
Sounds good,chitchat
Alright,chitchat
Got it,chitchat
No problem,chitchat
You're welcome,chitchat
Sure thing,chitchat
Tell me more,chitchat
Interesting,chitchat
That's funny,chitchat
Haha,chitchat
LOL,chitchat
Really?,chitchat
Wow,chitchat
Oh no,chitchat
Sorry,chitchat
Excuse me,chitchat
Pardon?,chitchat
What do you mean?,chitchat
Can you repeat?,chitchat
I don't understand,chitchat
Makes sense,chitchat
I agree,chitchat
Good point,chitchat
Tell me a joke,chitchat
What's new?,chitchat
How's it going?,chitchat
Long time no see,chitchat
Nice to meet you,chitchat
What's your name?,chitchat
Where are you from?,chitchat
How old are you?,chitchat
Just kidding,chitchat
For real?,chitchat
Seriously?,chitchat
That's awesome,chitchat
Congrats,chitchat
Happy birthday,chitchat
Merry Christmas,chitchat
Happy New Year,chitchat
Good luck,chitchat
Take care,chitchat
Stay safe,chitchat
Have a good day,chitchat
Sweet dreams,chitchat
What's the weather like?,chitchat
How's the day?,chitchat
I'm bored,chitchat
Tell me something,chitchat
Any news?,chitchat
What's happening?,chitchat
I like that,chitchat
That's cool,chitchat
Awesome,chitchat
Fantastic,chitchat
Great,chitchat
Super,chitchat
Excellent,chitchat
Perfect,chitchat
Wonderful,chitchat
Brilliant,chitchat
Terrific,chitchat
Fabulous,chitchat
Amazing,chitchat
Incredible,chitchat
Unbelievable,chitchat
Oh wow,chitchat
That's neat,chitchat
I see,chitchat
Understood,chitchat
Right,chitchat
Exactly,chitchat
Precisely,chitchat
Spot on,chitchat
You got it,chitchat
No way,chitchat
Are you sure?,chitchat
Doubt it,chitchat
Maybe,chitchat
Possibly,chitchat
Perhaps,chitchat
I think so,chitchat
I hope so,chitchat
Fingers crossed,chitchat
Knock on wood,chitchat
Break a leg,chitchat
Cheers,chitchat
Bottoms up,chitchat
Here's to you,chitchat
Salud,chitchat
Prost,chitchat
What time is it?,chitchat
How late is it?,chitchat
I'm tired,chitchat
I'm hungry,chitchat
I'm thirsty,chitchat
Let's chat,chitchat
Wanna talk?,chitchat
Got a minute?,chitchat
Busy?,chitchat
Free now?,chitchat
Later?,chitchat
Tomorrow?,chitchat
Someday,chitchat
Sometime,chitchat
Whenever,chitchat
Wherever,chitchat
However,chitchat
Whatever,chitchat
Whoever,chitchat
Whichever,chitchat
Why not?,chitchat
Why though?,chitchat
How come?,chitchat
For what?,chitchat
Since when?,chitchat
Until when?,chitchat
From where?,chitchat
To where?,chitchat
With whom?,chitchat
About what?,chitchat
Tell me why,chitchat
Explain please,chitchat
More details?,chitchat
Go on,chitchat
Continue,chitchat
And then?,chitchat
What next?,chitchat
What else?,chitchat
Anything else?,chitchat
That's all?,chitchat
Is that it?,chitchat
Done?,chitchat
Finished?,chitchat
Over?,chitchat
End?,chitchat
Stop,chitchat
Pause,chitchat
Hold on,chitchat
Wait a sec,chitchat
One moment,chitchat
Be right back,chitchat
BRB,chitchat
AFK,chitchat
TTYL,chitchat
GTG,chitchat
CYA,chitchat
Cheers mate,chitchat
Take it easy,chitchat
Peace out,chitchat
Later alligator,chitchat
In a while crocodile,chitchat
Adios,chitchat
Au revoir,chitchat
Sayonara,chitchat
Ciao,chitchat
Goodbye,chitchat
Farewell,chitchat
So long,chitchat
Until next time,chitchat
Catch you later,chitchat
See ya around,chitchat
Have fun,chitchat
Enjoy,chitchat
Best wishes,chitchat
All the best,chitchat
Keep in touch,chitchat
Stay connected,chitchat
Don't be a stranger,chitchat
Miss you already,chitchat
Hugs,chitchat
Kisses,chitchat
XOXO,chitchat
Love ya,chitchat
You're the best,chitchat
Thanks a bunch,chitchat
Appreciate it,chitchat
Grateful,chitchat
Thankful,chitchat
Blessed,chitchat
Lucky me,chitchat
What a day,chitchat
Crazy weather,chitchat
Hot today,chitchat
Cold outside,chitchat
Raining again,chitchat
Sunny day,chitchat
Windy,chitchat
Snowy,chitchat
Foggy,chitchat
Clear skies,chitchat
Beautiful morning,chitchat
Lovely evening,chitchat
Quiet night,chitchat
Busy week,chitchat
Weekend plans?,chitchat
Holiday coming?,chitchat
Vacation time,chitchat
Party tonight?,chitchat
